日期,时间,前收,高,低,价格,开,成交量,成交额,成交笔数
2018/10/11,2018/10/11,0.00 ,2446.37 ,2369.03 ,2390.50 ,2412.22 ,3693148600.00 ,47144413700.00 ,0.00 
2018/10/12,2018/10/12,2390.50 ,2452.69 ,2390.99 ,2444.13 ,2398.18 ,2900053300.00 ,37470242200.00 ,0.00 
2018/10/15,2018/10/15,2444.13 ,2448.26 ,2407.55 ,2412.48 ,2443.73 ,2054321600.00 ,26673331700.00 ,0.00 
2018/10/16,2018/10/16,2412.48 ,2459.88 ,2407.00 ,2415.49 ,2414.32 ,1983219900.00 ,26111832800.00 ,0.00 
2018/10/17,2018/10/17,2415.49 ,2451.19 ,2384.14 ,2429.21 ,2446.48 ,2485413000.00 ,31533042200.00 ,0.00 
2018/10/18,2018/10/18,2429.21 ,2416.37 ,2367.71 ,2369.07 ,2416.37 ,2276504600.00 ,29580379000.00 ,0.00 
2018/10/19,2018/10/19,2369.07 ,2451.76 ,2344.98 ,2446.32 ,2353.84 ,3138254800.00 ,42185839600.00 ,0.00 
2018/10/22,2018/10/22,2446.32 ,,2463.49 ,2540.15 ,2463.49 ,4632806800.00 ,64393838200.00 ,0.00 
2018/10/23,2018/10/23,2540.15 ,2544.30 ,2451.67 ,2464.81 ,2539.65 ,3541862300.00 ,55621787800.00 ,0.00 
2018/10/24,2018/10/24,2464.81 ,2530.77 ,2459.21 ,2477.49 ,2459.32 ,3702758100.00 ,48850258900.00 ,0.00 
2018/10/25,2018/10/25,2477.49 ,2486.76 ,2415.49 ,2485.10 ,2419.11 ,,43012012700.00 ,0.00 
2018/10/26,2018/10/26,2485.10 ,2499.76 ,2445.83 ,2468.91 ,2487.00 ,2879333500.00 ,37746236200.00 ,0.00 
2018/10/29,2018/10/29,2468.91 ,2465.37 ,2377.99 ,2389.58 ,2461.92 ,2872827700.00 ,40215886700.00 ,0.00 
2018/10/30,2018/10/30,2389.58 ,2449.29 ,2378.82 ,2415.65 ,2380.47 ,3246478600.00 ,52081900300.00 ,0.00 
2018/10/31,2018/10/31,2415.65 ,2460.84 ,2413.34 ,2451.12 ,2424.16 ,3450076300.00 ,44512207200.00 ,0.00 
2018/11/1,2018/11/1,2451.12 ,2500.12 ,2455.73 ,2460.16 ,2474.27 ,3769439000.00 ,50794892600.00 ,0.00 
2018/11/2,2018/11/2,2460.16 ,2544.19 ,2489.07 ,2542.77 ,2522.39 ,4732880400.00 ,62090716300.00 ,0.00 
2018/11/5,2018/11/5,2542.77 ,2524.65 ,2489.59 ,2511.59 ,2520.88 ,2826235900.00 ,37305733700.00 ,0.00 
2018/11/6,2018/11/6,2511.59 ,2509.64 ,2478.38 ,2499.68 ,2507.36 ,2210240000.00 ,27830069300.00 ,0.00 
2018/11/7,2018/11/7,2499.68 ,2521.15 ,2479.25 ,2482.33 ,2503.68 ,2615856400.00 ,30891232900.00 ,0.00 
2018/11/8,2018/11/8,2482.33 ,2511.00 ,2480.33 ,2486.00 ,2507.59 ,2031124600.00 ,26155585300.00 ,0.00 
2018/11/9,2018/11/9,2486.00 ,2469.89 ,2434.08 ,2434.21 ,2469.89 ,2803674200.00 ,30360305000.00 ,0.00 
2018/11/12,2018/11/12,2434.21 ,2447.46 ,2419.97 ,2444.97 ,2426.83 ,2290729900.00 ,29682529000.00 ,0.00 
2018/11/13,2018/11/13,2444.97 ,2474.82 ,2413.78 ,2462.97 ,2415.30 ,2768189800.00 ,34914183900.00 ,0.00 
2018/11/14,2018/11/14,2462.97 ,2462.18 ,2425.97 ,2429.99 ,2462.18 ,2701656500.00 ,31710019000.00 ,0.00 
2018/11/15,2018/11/15,2429.99 ,2459.43 ,2427.07 ,2459.14 ,2430.19 ,2474501700.00 ,30254544200.00 ,0.00 
2018/11/16,2018/11/16,2459.14 ,2482.44 ,2443.12 ,2461.44 ,2458.48 ,3150058300.00 ,39145116400.00 ,0.00 
2018/11/19,2018/11/19,2461.44 ,2492.08 ,2461.80 ,2492.08 ,2466.43 ,2972015300.00 ,38040917100.00 ,0.00 
2018/11/20,2018/11/20,2492.08 ,2484.01 ,2441.85 ,2446.79 ,2475.23 ,2694532200.00 ,32913380900.00 ,0.00 
2018/11/21,2018/11/21,2446.79 ,2454.46 ,2425.23 ,2451.27 ,2425.72 ,2190453400.00 ,26826856500.00 ,0.00 
2018/11/22,2018/11/22,2451.27 ,2456.91 ,2426.12 ,2437.64 ,2455.77 ,1642482800.00 ,21069166900.00 ,0.00 
2018/11/23,2018/11/23,2437.64 ,2441.32 ,2398.73 ,2399.20 ,2433.53 ,2121988900.00 ,24231459100.00 ,0.00 
2018/11/26,2018/11/26,2399.20 ,2423.46 ,2393.98 ,2401.90 ,2409.47 ,1621533900.00 ,18832300600.00 ,0.00 
2018/11/27,2018/11/27,2401.90 ,2416.44 ,2387.93 ,2394.29 ,2407.23 ,1496893600.00 ,17940814800.00 ,0.00 
2018/11/28,2018/11/28,2394.29 ,2426.66 ,2394.25 ,2421.13 ,2396.30 ,1705968600.00 ,21351171700.00 ,0.00 
2018/11/29,2018/11/29,2421.13 ,2441.42 ,2401.85 ,2401.85 ,2437.92 ,1984535300.00 ,25290387100.00 ,0.00 
2018/11/30,2018/11/30,2401.85 ,2430.65 ,2402.54 ,2428.04 ,2403.23 ,1932253400.00 ,23150338200.00 ,0.00 
2018/12/3,2018/12/3,2428.04 ,2500.57 ,2467.94 ,2488.06 ,2492.43 ,3536961200.00 ,48628578700.00 ,0.00 
2018/12/4,2018/12/4,2488.06 ,2496.81 ,2476.91 ,2496.14 ,2488.58 ,2384960500.00 ,30722358300.00 ,0.00 
2018/12/5,2018/12/5,2496.14 ,2492.32 ,2465.25 ,2481.79 ,2467.56 ,2048360900.00 ,27883112800.00 ,0.00 
2018/12/6,2018/12/6,2481.79 ,2460.23 ,2431.86 ,2434.49 ,2453.56 ,2167120500.00 ,29561052100.00 ,0.00 
2018/12/7,2018/12/7,2434.49 ,2444.98 ,2427.89 ,2430.72 ,2441.38 ,1453465300.00 ,20820781600.00 ,0.00 
2018/12/10,2018/12/10,2430.72 ,2425.74 ,2399.32 ,2408.61 ,2410.17 ,1758651500.00 ,23162583400.00 ,0.00 
2018/12/11,2018/12/11,2408.61 ,2420.52 ,2405.87 ,2415.58 ,2408.92 ,1288550500.00 ,17056710300.00 ,0.00 
2018/12/12,2018/12/12,2415.58 ,2437.61 ,2414.33 ,2423.32 ,2437.61 ,1423084600.00 ,18683315600.00 ,0.00 
2018/12/13,2018/12/13,2423.32 ,2469.70 ,2423.57 ,2457.90 ,2429.39 ,2808551000.00 ,36815472000.00 ,0.00 
2018/12/14,2018/12/14,2457.90 ,2448.80 ,2423.09 ,2423.38 ,2446.81 ,2585535700.00 ,30934774000.00 ,0.00 
2018/12/17,2018/12/17,2423.38 ,2430.89 ,2409.01 ,2425.94 ,2420.58 ,2117099700.00 ,27336830900.00 ,0.00 
2018/12/18,2018/12/18,2425.94 ,2427.68 ,2388.98 ,2397.87 ,2409.58 ,2068126900.00 ,25490008700.00 ,0.00 
2018/12/19,2018/12/19,2397.87 ,2403.90 ,2366.40 ,2369.55 ,2401.91 ,1866463300.00 ,25313964300.00 ,0.00 
2018/12/20,2018/12/20,2369.55 ,2372.37 ,2319.10 ,2334.92 ,2363.00 ,2689346100.00 ,32198354700.00 ,0.00 
2018/12/21,2018/12/21,2334.92 ,2327.44 ,2288.40 ,2306.15 ,2325.98 ,2475280700.00 ,31278956900.00 ,0.00 
2018/12/24,2018/12/24,2306.15 ,2311.73 ,2286.99 ,2309.23 ,2293.75 ,1831829600.00 ,21344497100.00 ,0.00 
2018/12/25,2018/12/25,2309.23 ,2308.61 ,2256.47 ,2297.33 ,2285.66 ,2400326200.00 ,27287608700.00 ,0.00 
2018/12/26,2018/12/26,2297.33 ,2303.20 ,2278.29 ,2281.56 ,2293.29 ,1578716400.00 ,18688493000.00 ,0.00 
2018/12/27,2018/12/27,2281.56 ,2313.05 ,2275.04 ,2276.06 ,2310.81 ,2675621500.00 ,29948336000.00 ,0.00 
2018/12/28,2018/12/28,2276.06 ,2305.91 ,2278.25 ,2293.10 ,2279.70 ,2427734800.00 ,30980579900.00 ,0.00 
2019/1/2,2019/1/2,2293.10 ,2301.06 ,2252.75 ,2262.79 ,2298.18 ,2088069700.00 ,28119934100.00 ,0.00 
2019/1/3,2019/1/3,2262.79 ,2287.78 ,2253.94 ,2269.24 ,2259.48 ,1889524000.00 ,24534925500.00 ,0.00 
2019/1/4,2019/1/4,2269.24 ,2316.35 ,2249.37 ,2314.65 ,2252.74 ,2590059600.00 ,34317942600.00 ,0.00 
2019/1/7,2019/1/7,2314.65 ,2331.60 ,2306.90 ,2314.32 ,2329.03 ,2527894800.00 ,31955994400.00 ,0.00 
2019/1/8,2019/1/8,2314.32 ,2312.17 ,2298.95 ,2305.17 ,2312.17 ,1813116000.00 ,22329122100.00 ,0.00 
2019/1/9,2019/1/9,2305.17 ,2360.36 ,2318.44 ,2332.72 ,2320.91 ,2874759600.00 ,37485405800.00 ,0.00 
2019/1/10,2019/1/10,2332.72 ,2345.33 ,2321.30 ,2331.85 ,2333.22 ,2228050700.00 ,28880603100.00 ,0.00 
2019/1/11,2019/1/11,2331.85 ,2360.06 ,2334.91 ,2354.50 ,2342.02 ,1841769300.00 ,24514111700.00 ,0.00 
2019/1/14,2019/1/14,2354.50 ,2354.31 ,2330.00 ,2331.14 ,2350.26 ,1646225200.00 ,20643865500.00 ,0.00 
2019/1/15,2019/1/15,2331.14 ,2380.60 ,2332.41 ,2378.37 ,2337.70 ,2246633600.00 ,32220714400.00 ,0.00 
2019/1/16,2019/1/16,2378.37 ,2385.22 ,2366.34 ,2381.22 ,2375.17 ,1809703900.00 ,25235752800.00 ,0.00 
2019/1/17,2019/1/17,2381.22 ,2396.80 ,2370.58 ,2371.35 ,2388.59 ,2155500000.00 ,26964929400.00 ,0.00 
2019/1/18,2019/1/18,2371.35 ,2422.03 ,2380.56 ,2417.36 ,2385.62 ,3008820000.00 ,37495330100.00 ,0.00 
2019/1/21,2019/1/21,2417.36 ,2443.23 ,2418.00 ,2432.49 ,2418.00 ,2623723600.00 ,33912529400.00 ,0.00 
2019/1/22,2019/1/22,2432.49 ,2430.43 ,2394.18 ,2401.23 ,2430.43 ,1937313700.00 ,25702750000.00 ,0.00 
2019/1/23,2019/1/23,2401.23 ,2414.02 ,2392.64 ,2397.05 ,2397.41 ,1629013500.00 ,20185057200.00 ,0.00 
2019/1/24,2019/1/24,2397.05 ,2414.89 ,2385.10 ,2411.56 ,2401.38 ,2041569700.00 ,27328503900.00 ,0.00 
2019/1/25,2019/1/25,2411.56 ,2453.67 ,2418.01 ,2441.64 ,2419.26 ,2568367900.00 ,32544229900.00 ,0.00 
2019/1/28,2019/1/28,2441.64 ,2473.12 ,2429.88 ,2437.03 ,2455.28 ,2346816300.00 ,32696609400.00 ,0.00 
2019/1/29,2019/1/29,2437.03 ,2461.52 ,2423.46 ,2455.90 ,2433.31 ,2186348000.00 ,27141683100.00 ,0.00 
2019/1/30,2019/1/30,2455.90 ,2462.61 ,2439.33 ,2440.01 ,2445.86 ,1783517000.00 ,22414217300.00 ,0.00 
2019/1/31,2019/1/31,2440.01 ,2487.10 ,2450.18 ,2483.47 ,2454.64 ,2668129800.00 ,34141608100.00 ,0.00 
2019/2/1,2019/2/1,2483.47 ,2503.55 ,2479.34 ,2499.64 ,2502.10 ,2195005400.00 ,29364023000.00 ,0.00 
2019/2/11,2019/2/11,2499.64 ,2528.38 ,2484.65 ,2527.47 ,2485.50 ,2521157000.00 ,34715191200.00 ,0.00 
2019/2/12,2019/2/12,2527.47 ,2537.29 ,2515.03 ,2533.18 ,2528.10 ,2545880400.00 ,33771727400.00 ,0.00 
2019/2/13,2019/2/13,2533.18 ,2587.88 ,2528.23 ,2580.61 ,2538.42 ,3982183200.00 ,48008835500.00 ,0.00 
2019/2/14,2019/2/14,2580.61 ,2585.51 ,2564.87 ,2576.31 ,2572.64 ,2771851500.00 ,35168460100.00 ,0.00 
2019/2/15,2019/2/15,2576.31 ,2568.79 ,2515.89 ,2517.46 ,2566.34 ,3031579600.00 ,39093901900.00 ,0.00 
2019/2/18,2019/2/18,2517.46 ,2583.40 ,2540.30 ,2582.85 ,2540.53 ,3740059200.00 ,47875957600.00 ,0.00 
2019/2/19,2019/2/19,2582.85 ,2614.36 ,2568.18 ,2579.05 ,2586.86 ,3790737900.00 ,49607504200.00 ,0.00 
2019/2/20,2019/2/20,2579.05 ,2599.55 ,2569.98 ,2588.17 ,2593.79 ,2996518100.00 ,38166831800.00 ,0.00 
2019/2/21,2019/2/21,2588.17 ,2615.47 ,2569.48 ,2577.23 ,2586.74 ,3525285500.00 ,44405018400.00 ,0.00 
2019/2/22,2019/2/22,2577.23 ,2623.09 ,2555.73 ,2623.07 ,2576.00 ,4138415100.00 ,53491957500.00 ,0.00 
2019/2/25,2019/2/25,2623.07 ,2788.67 ,2652.91 ,2787.70 ,2652.91 ,9693905100.00 ,125003000000.00 ,0.00 
2019/2/26,2019/2/26,2787.70 ,2804.16 ,2729.48 ,2733.90 ,2781.31 ,8723016100.00 ,114283000000.00 ,0.00 
2019/2/27,2019/2/27,2733.90 ,2794.93 ,2722.31 ,2750.34 ,2739.11 ,7550886500.00 ,91098634600.00 ,0.00 
2019/2/28,2019/2/28,2750.34 ,2767.86 ,2733.03 ,2743.97 ,2749.87 ,4634095900.00 ,62186339100.00 ,0.00 
2019/3/1,2019/3/1,2743.97 ,2819.47 ,2747.21 ,2819.47 ,2764.95 ,5610014700.00 ,76333697100.00 ,0.00 
2019/3/4,2019/3/4,2819.47 ,2907.82 ,2816.98 ,2832.59 ,2839.40 ,9218016700.00 ,118854000000.00 ,0.00 
2019/3/5,2019/3/5,2832.59 ,2835.11 ,2807.12 ,2828.87 ,2829.50 ,6034923500.00 ,75288723600.00 ,0.00 
2019/3/6,2019/3/6,2828.87 ,2847.38 ,2797.50 ,2840.27 ,2827.86 ,6949222400.00 ,91060938200.00 ,0.00 
2019/3/7,2019/3/7,2840.27 ,2831.36 ,2773.35 ,2789.70 ,2831.36 ,7326395900.00 ,102232000000.00 ,0.00 
2019/3/8,2019/3/8,2789.70 ,2753.55 ,2684.20 ,2685.59 ,2731.53 ,7203392800.00 ,96388376500.00 ,0.00 
2019/3/11,2019/3/11,2685.59 ,2714.09 ,2670.79 ,2708.60 ,2683.76 ,5201405200.00 ,70198689400.00 ,0.00 
2019/3/12,2019/3/12,2708.60 ,2759.61 ,2704.69 ,2719.77 ,2730.53 ,6486754400.00 ,85051843000.00 ,0.00 
2019/3/13,2019/3/13,2719.77 ,2747.96 ,2699.98 ,2723.96 ,2731.50 ,5406457100.00 ,74117602700.00 ,0.00 
2019/3/14,2019/3/14,2723.96 ,2752.66 ,2716.27 ,2729.13 ,2720.19 ,4347181300.00 ,62567909600.00 ,0.00 
2019/3/15,2019/3/15,2729.13 ,2783.51 ,2735.86 ,2755.81 ,2736.00 ,4412309600.00 ,67258458900.00 ,0.00 
2019/3/18,2019/3/18,2755.81 ,2827.26 ,2749.20 ,2825.18 ,2763.23 ,6160523500.00 ,87655202100.00 ,0.00 
2019/3/19,2019/3/19,2825.18 ,2842.45 ,2797.72 ,2806.90 ,2830.24 ,4345905600.00 ,62362679400.00 ,0.00 
2019/3/20,2019/3/20,2806.90 ,2831.63 ,2787.28 ,2812.92 ,2799.33 ,4032224700.00 ,58429045900.00 ,0.00 
2019/3/21,2019/3/21,2812.92 ,2822.63 ,2799.83 ,2802.96 ,2816.45 ,4363138500.00 ,63731399200.00 ,0.00 
2019/3/22,2019/3/22,2802.96 ,2813.52 ,2771.96 ,2795.39 ,2804.72 ,3598807000.00 ,50509047900.00 ,0.00 
2019/3/25,2019/3/25,2795.39 ,2765.84 ,2717.29 ,2718.18 ,2757.81 ,5214091500.00 ,66207962000.00 ,0.00 
2019/3/26,2019/3/26,2718.18 ,2739.29 ,2693.91 ,2706.15 ,2737.37 ,4007395500.00 ,52612740800.00 ,0.00 
2019/3/27,2019/3/27,2706.15 ,2751.72 ,2714.10 ,2741.59 ,2721.14 ,3354201800.00 ,51900870700.00 ,0.00 
2019/3/28,2019/3/28,2741.59 ,2742.70 ,2709.39 ,2733.97 ,2728.04 ,3184030300.00 ,46631870200.00 ,0.00 
2019/3/29,2019/3/29,2733.97 ,2845.23 ,2746.11 ,2838.51 ,2747.54 ,5967666900.00 ,90550418000.00 ,0.00 
2019/4/1,2019/4/1,2838.51 ,2906.15 ,2860.14 ,2892.62 ,2860.14 ,7791214600.00 ,104514000000.00 ,0.00 
2019/4/2,2019/4/2,2892.62 ,2903.87 ,2878.39 ,2888.53 ,2900.63 ,6118746100.00 ,77540948400.00 ,0.00 
2019/4/3,2019/4/3,2888.53 ,2923.92 ,2865.30 ,2920.00 ,2869.85 ,6472374900.00 ,81562043800.00 ,0.00 
2019/4/4,2019/4/4,2920.00 ,2959.59 ,2921.20 ,2951.98 ,2927.10 ,7303571600.00 ,89999489200.00 ,0.00 
2019/4/8,2019/4/8,2951.98 ,3007.83 ,2938.65 ,2962.27 ,2978.50 ,7453190900.00 ,97533308600.00 ,0.00 
2019/4/9,2019/4/9,2962.27 ,2980.12 ,2948.31 ,2967.51 ,2968.08 ,5080214200.00 ,72309797800.00 ,0.00 
2019/4/10,2019/4/10,2967.51 ,2996.41 ,2941.35 ,2979.10 ,2957.27 ,4869243800.00 ,75072996000.00 ,0.00 
2019/4/11,2019/4/11,2979.10 ,3000.10 ,2920.19 ,2928.43 ,2982.39 ,4281114400.00 ,64001721600.00 ,0.00 
2019/4/12,2019/4/12,2928.43 ,2933.45 ,2903.27 ,2920.52 ,2920.55 ,3252163300.00 ,47318241100.00 ,0.00 
2019/4/15,2019/4/15,2920.52 ,2999.33 ,2924.60 ,2924.93 ,2973.02 ,5843752800.00 ,77706068500.00 ,0.00 
2019/4/16,2019/4/16,2924.93 ,3023.03 ,2909.67 ,3023.03 ,2914.99 ,7076416300.00 ,85299156300.00 ,0.00 
2019/4/17,2019/4/17,3023.03 ,3035.41 ,2996.76 ,3017.42 ,3017.39 ,4996067500.00 ,64317209000.00 ,0.00 
2019/4/18,2019/4/18,3017.42 ,3019.54 ,2993.27 ,3004.92 ,3014.91 ,3967068400.00 ,50009082000.00 ,0.00 
2019/4/19,2019/4/19,3004.92 ,3043.93 ,2989.55 ,3042.43 ,3013.67 ,3994367200.00 ,56035404800.00 ,0.00 
2019/4/22,2019/4/22,3042.43 ,3048.82 ,2962.36 ,2970.49 ,3047.43 ,5675969700.00 ,74865754200.00 ,0.00 
2019/4/23,2019/4/23,2970.49 ,3007.35 ,2964.98 ,2978.85 ,2968.00 ,4106545600.00 ,57398711300.00 ,0.00 
2019/4/24,2019/4/24,2978.85 ,3001.53 ,2933.53 ,2974.85 ,2989.96 ,3542572900.00 ,51081275900.00 ,0.00 
2019/4/25,2019/4/25,2974.85 ,2973.22 ,2924.02 ,2928.00 ,2962.74 ,3893448300.00 ,52302557200.00 ,0.00 
2019/4/26,2019/4/26,2928.00 ,2930.21 ,2892.53 ,2892.86 ,2913.77 ,3656219700.00 ,52261886800.00 ,0.00 
2019/4/29,2019/4/29,2892.86 ,2968.16 ,2899.83 ,2939.41 ,2906.47 ,3924935500.00 ,60772631900.00 ,0.00 
2019/4/30,2019/4/30,2939.41 ,2955.88 ,2919.49 ,2945.24 ,2935.24 ,3212798300.00 ,49535144400.00 ,0.00 
